feature,mean_abs_delta_norm,mean_pct_of_range,change_freq,mean_abs_delta_denorm
grade,0.14909008,14.909008,0.95,1.0619411
sqft_above,0.10782822,10.782823,1.0,0.059581213
sqft_lot,0.08734306,8.734306,1.0,904.4085
sqft_living,0.07690548,7.690548,1.0,101691.25
yr_built,0.040969238,4.096924,0.95,0.00077470543
sqft_living15,0.034168433,3.4168434,0.95,0.00034623285
bedrooms,0.032180034,3.2180033,1.0,0.040167347
sqft_lot15,0.028183639,2.818364,1.0,0.05166495
condition,0.012916245,1.2916244,1.0,1.7890809
sqft_basement,0.0109861875,1.0986187,0.95,924.08777
view,0.010041837,1.0041837,0.95,52.953423
bathrooms,0.0074476516,0.74476516,0.9,4.7114744
yr_renovated,0.0012359387,0.123593874,0.45,2.4904165
waterfront,0.00034623285,0.034623284,0.0,0.0
floors,0.00030988347,0.030988347,0.05,0.0
long,0.0,0.0,0.0,198.55276
lat,0.0,0.0,0.0,24535.238
