feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.030303031,-0.34454173,0.37484476,37.484474,1.0,-11.369877,12.369877,37.48447533809664
bathrooms,0.125,-0.3509128,0.4759128,47.59128,1.0,-2.8073025,3.8073025,47.59128093718887
sqft_living,0.036564626,-0.31332567,0.3498903,34.98903,720.0,-3394.7097,4114.71,34.98903028008078
sqft_lot,0.0039337818,-0.75602275,0.75995654,75.99565,5099.9995,-879697.6,884797.6,75.99565265564635
floors,0.0,0.057735965,0.057735965,5.7735963,1.0,1.1443399,0.14433992,5.773596763608531
waterfront,0.0,0.059384253,0.059384253,5.938425,0.0,0.059384253,0.059384253,5.938425287598393
view,0.0,-0.3869602,0.3869602,38.696022,0.0,-1.5478408,1.5478408,38.69602084158883
condition,0.5,0.31581816,0.18418184,18.418184,3.0,2.2632728,0.73672724,18.418180942530796
grade,0.41666666,0.43610945,0.019442797,1.9442797,6.0,6.2333136,0.23331356,1.94427967071517
sqft_above,0.05017503,-0.65131795,0.70149297,70.1493,720.00006,-5291.795,6011.795,70.1492989717036
sqft_basement,0.0,-0.47195518,0.47195518,47.19552,0.0,-2274.824,2274.824,47.19551814542271
yr_built,0.060869563,-0.09420158,0.15507114,15.507114,1907.0,1889.1669,17.83313,15.507069463315085
yr_renovated,0.0,0.011333019,0.011333019,1.1333019,0.0,22.836033,22.836033,1.133301879277004
lat,0.8455442,0.81439394,0.031150281,3.1150281,47.6821,47.662838,0.019260406,3.1150584658110207
long,0.115448505,0.27597088,0.16052237,16.052237,-122.38,-122.18673,0.19326782,16.052144706433822
sqft_living15,0.15849252,-0.0067218393,0.16521436,16.521437,1320.0,359.9394,960.0606,16.52143534521005
sqft_lot15,0.0051105684,-0.525052,0.5301626,53.01626,5100.0005,-456432.5,461532.5,53.01625755701287
