feature,orig_norm,cf_norm,abs_delta_norm,pct_of_range,orig_denorm,cf_denorm,abs_delta_denorm,pct_of_range_denorm
bedrooms,0.121212125,0.13959861,0.018386483,1.8386483,4.0,4.6067543,0.6067543,1.838649402965143
bathrooms,0.3125,0.2959399,0.016560107,1.6560107,2.5,2.3675191,0.13248086,1.6560107469556644
sqft_living,0.17006803,0.045596205,0.12447182,12.447182,2290.0,826.21136,1463.7886,12.447181753560796
sqft_lot,0.00990059,-0.073155776,0.08305637,8.305636,12047.0,-84653.37,96700.37,8.30563657588334
floors,0.4,0.40456516,0.0045651495,0.45651495,2.0,2.0114129,0.011412859,0.4565143585203252
waterfront,0.0,-0.0016347937,0.0016347937,0.16347937,0.0,-0.0016347937,0.0016347937,0.16347937053053122
view,0.0,-0.022318754,0.022318754,2.2318754,0.0,-0.08927502,0.08927502,2.2318754345173026
condition,0.75,0.7306876,0.019312382,1.9312382,4.0,3.9227505,0.07724953,1.9312381744379936
grade,0.6666667,0.610348,0.0563187,5.6318703,9.0,8.324176,0.67582417,5.6318680445348495
sqft_above,0.23337223,0.13011047,0.103261754,10.326176,2290.0,1405.0468,884.95325,10.326175578416713
sqft_basement,0.0,-0.031841975,0.031841975,3.1841974,0.0,-153.47832,153.47832,3.1841974535423687
yr_built,0.76521736,0.7635942,0.0016231537,0.16231537,1988.0,1987.8134,0.18664551,0.16230044157608556
yr_renovated,0.0,-0.00827405,0.00827405,0.82740504,0.0,-16.67221,16.67221,0.8274049971890505
lat,0.6479055,0.6479055,0.0,0.0,47.5599,47.5599,0.0,0.0
long,0.34385383,0.34385383,0.0,0.0,-122.105,-122.105,0.0,0.0
sqft_living15,0.46997073,0.42264375,0.047326982,4.7326984,3129.9998,2854.983,275.01685,4.732693954622698
sqft_lot15,0.017247736,-0.08281373,0.10006147,10.006146,15665.999,-71442.41,87108.41,10.006146265172896
