feature_idx,included_attempts,included_successes,included_success_rate,excluded_attempts,excluded_successes,excluded_success_rate,marginal_success_increase,mean_abs_change_when_included
0,12969,12929,0.9969157221065618,207504,206905,0.9971133086591102,-0.00019758655254842328,0.05799864181139507
1,12969,12932,0.9971470429485697,207504,206902,0.9970988511064847,4.819184208504357e-05,0.0030694792790297272
2,12969,12937,0.9975325776852494,207504,206897,0.9970747551854422,0.00045782249980719225,0.00705715959477431
3,12969,12933,0.9972241498959056,207504,206901,0.9970940319222762,0.0001301179736293845,0.12667839866510502
4,12969,12925,0.996607294317218,207504,206909,0.9971325853959442,-0.000525291078726231,0.000529842306779434
5,12969,12925,0.996607294317218,207504,206909,0.9971325853959442,-0.000525291078726231,0.0007219532986066895
6,12969,12936,0.9974554707379135,207504,206898,0.9970795743696507,0.00037589636826285133,0.0008361712953612345
7,12969,12935,0.9973783637905775,207504,206899,0.9970843935538592,0.00029397023671828837,0.0011571827317195173
8,12969,12941,0.9978410054745933,207504,206893,0.9970554784486082,0.000785527025985111,0.0811767502739714
9,12969,12936,0.9974554707379135,207504,206898,0.9970795743696507,0.00037589636826285133,0.013328843967229477
10,12969,12930,0.9969928290538977,207504,206904,0.9971084894749017,-0.00011566042100397134,0.0008802305606794322
11,12969,12938,0.9976096846325854,207504,206896,0.9970699360012337,0.0005397486313516442,0.0013829492039006542
12,12969,12922,0.9963759734752101,207504,206912,0.9971470429485697,-0.0007710694733595869,0.0005780502214095982
13,12969,12924,0.9965301873698821,207504,206910,0.9971374045801527,-0.000607217210270572,0.04511576746751537
14,12969,12935,0.9973783637905775,207504,206899,0.9970843935538592,0.00029397023671828837,0.09329124195318511
15,12969,12928,0.9968386151592259,207504,206906,0.9971181278433187,-0.0002795126840927642,0.0012059703913266332
16,12969,12928,0.9968386151592259,207504,206906,0.9971181278433187,-0.0002795126840927642,0.04155545864274611
